t,1,4.7,-1,-4.7
2,4.1,4.2,2.2,3.5
4,1.5,3.8,0.7,2.8
6,0.5,2.9,0.2,2.3
8,0.2,2.2,0,1.9
10,0.1,1.9,0,1.5
12,0.1,1.5,0,1.2
14,0,1.2,0,0.9
16,0,1,0,0.7
18,0,0.8,0,0.6
20,0,0.7,0,0.5
22,0,0.5,0,0.3
24,0,0.3,0,0.3
