t,60,30,-60,-30,1,4.7,-1,-4.7
20,4,3.2,3.5,3,4.1,4.2,2.2,3.5
40,3.5,2.3,3,2.1,1.5,3.8,0.7,2.8
60,2.9,1.7,2.5,1.5,0.5,2.9,0.2,2.3
80,2.4,1.2,2.1,1,0.2,2.2,0,1.9
100,2.1,0.8,1.9,0.7,0.1,1.9,0,1.5
120,1.7,0.6,1.5,0.5,0.1,1.5,0,1.2
140,1.5,0.4,1.2,0.3,0,1.2,0,0.9
160,1.3,0.3,1,0.1,0,1,0,0.7
180,1.1,0.2,0.8,0.1,0,0.8,0,0.6
200,0.9,0.1,0.7,0,0,0.7,0,0.5
220,0.8,0.1,0.6,0,0,0.5,0,0.3
240,0.6,0.1,0.5,0,0,0.3,0,0.3
